央视&卫视,#genre#
四川卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227417/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.78:5140$成都单播
四川新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227411/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.5:5140$成都单播
四川经济,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227415/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.2:5140$成都单播
四川文化旅游,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227413/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.3:5140$成都单播
四川乡村,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227403/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.4:5140$成都单播
四川影视文艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227409/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.77:5140$成都单播
四川妇女儿童,http://192.168.9.1:5141/rtp/239.11.0.8:5140$成都单播
四川科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227936/index.m3u8$南充联通#http://192.168.9.1:5141/rtp/239.11.0.194:5140$成都单播
四川交通广播,http://ls.qingting.fm/live/4886.m3u8
成都新闻综合,http://192.168.9.1:5141/rtp/239.10.0.11:5140$成都单播
成都公共,http://192.168.9.1:5141/rtp/239.10.0.15:5140$成都单播
成都经济资讯,http://192.168.9.1:5141/rtp/239.10.0.174:5140$成都单播
成都都市生活,http://192.168.9.1:5141/rtp/239.10.0.13:5140$成都单播
成都影视文艺,http://192.168.9.1:5141/rtp/239.10.0.14:5140$成都单播
自贡综合频道,http://192.168.9.1:5141/rtp/239.10.0.83:5140$成都单播
自贡公共频道,http://192.168.9.1:5141/rtp/239.10.0.84:5140$成都单播
荣县综合频道,http://play.rongxianwang.net/rxzh/0835.m3u8?auth_key=1625042660-0-0-36e32b9c341e085f53b382e1cdde7a02
南充综合,http://192.168.9.1:5141/rtp/239.10.0.68:5140$成都单播
南充公共,http://192.168.9.1:5141/rtp/239.10.0.69:5140$成都单播
南充科教,http://192.168.9.1:5141/rtp/239.10.0.70:5140$成都单播
凉山新闻,http://192.168.9.1:5141/rtp/239.10.0.64:5140$成都单播
会理新闻,http://192.168.9.1:5141/rtp/239.11.0.239:5140$成都单播
绵阳新闻综合,http://192.168.9.1:5141/rtp/239.10.0.96:5140$成都单播
绵阳科教,http://192.168.9.1:5141/rtp/239.10.0.98:5140$成都单播
宜宾新闻,http://192.168.9.1:5141/rtp/239.10.0.80:5140$成都单播
